0000000000000001;0000000000000001;1;3200.00
0000000000000002;0000000000000002;0;875.20
0000000000000003;0000000000000003;1;12000.00
0000000000000004;0000000000000004;0;450.75
0000000000000005;0000000000000005;1;9800.10
0000000000000006;0000000000000006;0;2200.00
0000000000000007;0000000000000007;1;1340.90
0000000000000008;0000000000000008;0;7650.45
0000000000000009;0000000000000009;1;540.00
0000000000000010;0000000000000010;0;1899.99
0000000000000011;0000000000000011;1;4300.25
0000000000000012;0000000000000012;0;999.99
0000000000000013;0000000000000013;1;6700.70
0000000000000014;0000000000000014;0;250.00
0000000000000015;0000000000000015;1;8800.80
0000000000000016;0000000000000016;0;1430.60
0000000000000017;0000000000000017;1;7200.00
0000000000000018;0000000000000018;0;3100.15
0000000000000019;0000000000000019;1;5050.50
0000000000000020;0000000000000029;0;1000.00
0000000000000021;0000000000000001;2;500.00
0000000000000022;0000000000000002;1;-50.00
0000000000000003;0000000000000004;0;1200.00
