0000000000000001;01/05/2026 09:01:10;75.00;0000000000000003;0000000000000004
0000000000000002;01/05/2026 09:45:33;560.90;0000000000000005;0000000000000006
0000000000000003;01/05/2026 10:12:48;15.75;0000000000000007;0000000000000008
0000000000000004;01/05/2026 11:20:05;300.00;0000000000000009;0000000000000010
0000000000000005;01/05/2026 12:00:00;980.40;0000000000000011;0000000000000012
0000000000000006;01/05/2026 12:45:19;49.99;0000000000000013;0000000000000014
0000000000000007;01/05/2026 13:30:42;220.00;0000000000000015;0000000000000016
0000000000000008;01/05/2026 14:05:17;1500.00;0000000000000017;0000000000000018
0000000000000009;01/05/2026 14:50:55;89.30;0000000000000019;0000000000000000
0000000000000010;02/05/2026 08:10:11;42.42;0000000000000002;0000000000000003
0000000000000011;02/05/2026 09:25:49;640.00;0000000000000004;0000000000000005
0000000000000012;02/05/2026 10:40:00;77.70;0000000000000006;0000000000000007
0000000000000013;02/05/2026 11:15:36;999.99;0000000000000008;0000000000000009
0000000000000014;02/05/2026 12:22:58;18.20;0000000000000010;0000000000000011
0000000000000015;02/05/2026 13:47:03;250.50;0000000000000012;0000000000000013
0000000000000016;02/05/2026 15:00:14;1300.00;0000000000000014;0000000000000015
0000000000000017;02/05/2026 16:19:27;5.99;0000000000000016;0000000000000017
0000000000000018;02/05/2026 17:33:41;470.80;0000000000000018;0000000000000019
0000000000000019;02/05/2026 18:55:09;210.10;0000000000000000;0000000000000001
0000000000000020;03/05/2026 09:10:00;-45.00;0000000000000001;0000000000000002
0000000000000021;03/05/2026 10:00:00;100.00;9999999999999999;0000000000000003
0000000000000022;03/05/2026 11:00:00;200.00;0000000000000004;9999999999999999
0000000000000023;03/05/2026 12:00:00;50.00;0000000000000005;0000000000000005
0000000000000024;32/05/2026 14:00:00;80.00;0000000000000006;0000000000000007
0000000000000010;03/05/2026 15:00:00;90.00;0000000000000008;0000000000000009
0000000000000026;2026-05-03 16:00:00;70.00;0000000000000010;0000000000000011
